name,round_number,damage_type,damage_code,total
cabdf57e-f606-447c-8947-8167110ac52b,220,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,221,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,222,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,223,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,224,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,225,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,226,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,227,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,228,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,229,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,230,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,231,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,232,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,233,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,234,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,235,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,236,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,237,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,238,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,239,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,240,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,241,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,242,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,243,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,244,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,245,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,246,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,247,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,248,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,249,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,250,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,251,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,252,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,253,Piercing,1d6 + 2,5
